Date,Close,,,,,,,,,,,,,,,,,,,,,,,
5/05/2017,37.24,,,,,,,,,,,,,,,,,,,,,,,
8/05/2017,38.25,,,,,,,,,,,,,,,,,,,,,,,
9/05/2017,38.5,,,,,,,,,,,,,,,,,,,,,,,
10/05/2017,38.32,,,,,,,,,,,,,,,,,,,,,,,
11/05/2017,38.49,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017,39.03,,,,,,,,,,,,,,,,,,,,,,,
15/05/2017,38.92,,,,,,,,,,,,,,,,,,,,,,,
16/05/2017,38.87,,,,,,,,,,,,,,,,,,,,,,,
17/05/2017,37.56,,,,,,,,,,,,,,,,,,,,,,,
18/05/2017,38.14,,,,,,,,,,,,,,,,,,,,,,,
19/05/2017,38.27,,,,,,,,,,,,,,,,,,,,,,,
22/05/2017,38.5,,,,,,,,,,,,,,,,,,,,,,,
23/05/2017,38.45,,,,,,,,,,,,,,,,,,,,,,,
24/05/2017,38.34,,,,,,,,,,,,,,,,,,,,,,,
25/05/2017,38.47,,,,,,,,,,,,,,,,,,,,,,,
26/05/2017,38.4,,,,,,,,,,,,,,,,,,,,,,,
30/05/2017,38.42,,,,,,,,,,,,,,,,,,,,,,,
31/05/2017,38.19,,,,,,,,,,,,,,,,,,,,,,,
1/06/2017,38.3,,,,,,,,,,,,,,,,,,,,,,,
2/06/2017,38.86,,,,,,,,,,,,,,,,,,,,,,,
5/06/2017,38.48,,,,,,,,,,,,,,,,,,,,,,,
6/06/2017,38.61,,,,,,,,,,,,,,,,,,,,,,,
7/06/2017,38.84,,,,,,,,,,,,,,,,,,,,,,,
8/06/2017,38.75,,,,,,,,,,,,,,,,,,,,,,,
9/06/2017,37.24,,,,,,,,,,,,,,,,,,,,,,,
12/06/2017,36.35,,,,,,,,,,,,,,,,,,,,,,,
13/06/2017,36.65,,,,,,,,,,,,,,,,,,,,,,,
14/06/2017,36.29,,,,,,,,,,,,,,,,,,,,,,,
15/06/2017,36.07,,,,,,,,,,,,,,,,,,,,,,,
16/06/2017,35.57,,,,,,,,,,,,,,,,,,,,,,,
19/06/2017,36.59,,,,,,,,,,,,,,,,,,,,,,,
20/06/2017,36.25,,,,,,,,,,,,,,,,,,,,,,,
21/06/2017,36.47,,,,,,,,,,,,,,,,,,,,,,,
22/06/2017,36.41,,,,,,,,,,,,,,,,,,,,,,,
23/06/2017,36.57,,,,,,,,,,,,,,,,,,,,,,,
26/06/2017,36.46,,,,,,,,,,,,,,,,,,,,,,,
27/06/2017,35.93,,,,,,,,,,,,,,,,,,,,,,,
28/06/2017,36.46,,,,,,,,,,,,,,,,,,,,,,,
29/06/2017,35.92,,,,,,,,,,,,,,,,,,,,,,,
30/06/2017,36.01,,,,,,,,,,,,,,,,,,,,,,,
3/07/2017,35.88,,,,,,,,,,,,,,,,,,,,,,,
5/07/2017,36.02,,,,,,,,,,,,,,,,,,,,,,,
6/07/2017,35.68,,,,,,,,,,,,,,,,,,,,,,,
7/07/2017,36.05,,,,,,,,,,,,,,,,,,,,,,,
10/07/2017,36.27,,,,,,,,,,,,,,,,,,,,,,,
11/07/2017,36.38,,,,,,,,,,,,,,,,,,,,,,,
12/07/2017,36.44,,,,,,,,,,,,,,,,,,,,,,,
13/07/2017,36.94,,,,,,,,,,,,,,,,,,,,,,,
14/07/2017,37.26,,,,,,,,,,,,,,,,,,,,,,,
17/07/2017,37.39,,,,,,,,,,,,,,,,,,,,,,,
18/07/2017,37.52,,,,,,,,,,,,,,,,,,,,,,,
19/07/2017,37.76,,,,,,,,,,,,,,,,,,,,,,,
20/07/2017,37.59,,,,,,,,,,,,,,,,,,,,,,,
21/07/2017,37.57,,,,,,,,,,,,,,,,,,,,,,,
24/07/2017,38.02,,,,,,,,,,,,,,,,,,,,,,,
25/07/2017,38.19,,,,,,,,,,,,,,,,,,,,,,,
26/07/2017,38.37,,,,,,,,,,,,,,,,,,,,,,,
27/07/2017,37.64,,,,,,,,,,,,,,,,,,,,,,,
28/07/2017,37.38,,,,,,,,,,,,,,,,,,,,,,,
31/07/2017,37.18,,,,,,,,,,,,,,,,,,,,,,,
1/08/2017,37.51,,,,,,,,,,,,,,,,,,,,,,,
2/08/2017,39.28,,,,,,,,,,,,,,,,,,,,,,,
3/08/2017,38.89,,,,,,,,,,,,,,,,,,,,,,,
4/08/2017,39.1,,,,,,,,,,,,,,,,,,,,,,,
7/08/2017,39.7,,,,,,,,,,,,,,,,,,,,,,,
8/08/2017,40.02,,,,,,,,,,,,,,,,,,,,,,,
9/08/2017,40.27,,,,,,,,,,,,,,,,,,,,,,,
10/08/2017,38.83,,,,,,,,,,,,,,,,,,,,,,,
11/08/2017,39.37,,,,,,,,,,,,,,,,,,,,,,,
14/08/2017,39.96,,,,,,,,,,,,,,,,,,,,,,,
15/08/2017,40.4,,,,,,,,,,,,,,,,,,,,,,,
16/08/2017,40.24,,,,,,,,,,,,,,,,,,,,,,,
17/08/2017,39.47,,,,,,,,,,,,,,,,,,,,,,,
18/08/2017,39.38,,,,,,,,,,,,,,,,,,,,,,,
21/08/2017,39.3,,,,,,,,,,,,,,,,,,,,,,,
22/08/2017,39.95,,,,,,,,,,,,,,,,,,,,,,,
23/08/2017,39.99,,,,,,,,,,,,,,,,,,,,,,,
24/08/2017,39.82,,,,,,,,,,,,,,,,,,,,,,,
25/08/2017,39.97,,,,,,,,,,,,,,,,,,,,,,,
28/08/2017,40.37,,,,,,,,,,,,,,,,,,,,,,,
29/08/2017,40.73,,,,,,,,,,,,,,,,,,,,,,,
30/08/2017,40.84,,,,,,,,,,,,,,,,,,,,,,,
31/08/2017,41,,,,,,,,,,,,,,,,,,,,,,,
1/09/2017,41.01,,,,,,,,,,,,,,,,,,,,,,,
5/09/2017,40.52,,,,,,,,,,,,,,,,,,,,,,,
6/09/2017,40.48,,,,,,,,,,,,,,,,,,,,,,,
7/09/2017,40.32,,,,,,,,,,,,,,,,,,,,,,,
8/09/2017,39.66,,,,,,,,,,,,,,,,,,,,,,,
11/09/2017,40.38,,,,,,,,,,,,,,,,,,,,,,,
12/09/2017,40.22,,,,,,,,,,,,,,,,,,,,,,,
13/09/2017,39.91,,,,,,,,,,,,,,,,,,,,,,,
14/09/2017,39.57,,,,,,,,,,,,,,,,,,,,,,,
15/09/2017,39.97,,,,,,,,,,,,,,,,,,,,,,,
18/09/2017,39.67,,,,,,,,,,,,,,,,,,,,,,,
19/09/2017,39.68,,,,,,,,,,,,,,,,,,,,,,,
20/09/2017,39.02,,,,,,,,,,,,,,,,,,,,,,,
21/09/2017,38.35,,,,,,,,,,,,,,,,,,,,,,,
22/09/2017,37.97,,,,,,,,,,,,,,,,,,,,,,,
25/09/2017,37.64,,,,,,,,,,,,,,,,,,,,,,,
26/09/2017,38.28,,,,,,,,,,,,,,,,,,,,,,,
27/09/2017,38.56,,,,,,,,,,,,,,,,,,,,,,,
28/09/2017,38.32,,,,,,,,,,,,,,,,,,,,,,,
29/09/2017,38.53,,,,,,,,,,,,,,,,,,,,,,,
2/10/2017,38.45,,,,,,,,,,,,,,,,,,,,,,,
3/10/2017,38.62,,,,,,,,,,,,,,,,,,,,,,,
4/10/2017,38.37,,,,,,,,,,,,,,,,,,,,,,,
5/10/2017,38.85,,,,,,,,,,,,,,,,,,,,,,,
6/10/2017,38.83,,,,,,,,,,,,,,,,,,,,,,,
9/10/2017,38.96,,,,,,,,,,,,,,,,,,,,,,,
10/10/2017,38.98,,,,,,,,,,,,,,,,,,,,,,,
11/10/2017,39.14,,,,,,,,,,,,,,,,,,,,,,,
12/10/2017,39,,,,,,,,,,,,,,,,,,,,,,,
13/10/2017,39.25,,,,,,,,,,,,,,,,,,,,,,,
16/10/2017,39.97,,,,,,,,,,,,,,,,,,,,,,,
17/10/2017,40.12,,,,,,,,,,,,,,,,,,,,,,,
18/10/2017,39.94,,,,,,,,,,,,,,,,,,,,,,,
19/10/2017,38.99,,,,,,,,,,,,,,,,,,,,,,,
20/10/2017,39.06,,,,,,,,,,,,,,,,,,,,,,,
23/10/2017,39.04,,,,,,,,,,,,,,,,,,,,,,,
24/10/2017,39.28,,,,,,,,,,,,,,,,,,,,,,,
25/10/2017,39.1,,,,,,,,,,,,,,,,,,,,,,,
26/10/2017,39.35,,,,,,,,,,,,,,,,,,,,,,,
27/10/2017,40.76,,,,,,,,,,,,,,,,,,,,,,,
30/10/2017,41.68,,,,,,,,,,,,,,,,,,,,,,,
31/10/2017,42.26,,,,,,,,,,,,,,,,,,,,,,,
1/11/2017,41.72,,,,,,,,,,,,,,,,,,,,,,,
2/11/2017,42.03,,,,,,,,,,,,,,,,,,,,,,,
3/11/2017,43.13,,,,,,,,,,,,,,,,,,,,,,,
6/11/2017,43.56,,,,,,,,,,,,,,,,,,,,,,,
7/11/2017,43.7,,,,,,,,,,,,,,,,,,,,,,,
8/11/2017,44.06,,,,,,,,,,,,,,,,,,,,,,,
9/11/2017,43.97,,,,,,,,,,,,,,,,,,,,,,,
10/11/2017,43.67,,,,,,,,,,,,,,,,,,,,,,,
13/11/2017,43.49,,,,,,,,,,,,,,,,,,,,,,,
14/11/2017,42.84,,,,,,,,,,,,,,,,,,,,,,,
15/11/2017,42.27,,,,,,,,,,,,,,,,,,,,,,,
16/11/2017,42.78,,,,,,,,,,,,,,,,,,,,,,,
17/11/2017,42.54,,,,,,,,,,,,,,,,,,,,,,,
20/11/2017,42.5,,,,,,,,,,,,,,,,,,,,,,,
21/11/2017,43.29,,,,,,,,,,,,,,,,,,,,,,,
22/11/2017,43.74,,,,,,,,,,,,,,,,,,,,,,,
24/11/2017,43.74,,,,,,,,,,,,,,,,,,,,,,,
27/11/2017,43.52,,,,,,,,,,,,,,,,,,,,,,,
28/11/2017,43.27,,,,,,,,,,,,,,,,,,,,,,,
29/11/2017,42.37,,,,,,,,,,,,,,,,,,,,,,,
30/11/2017,42.96,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017,42.76,,,,,,,,,,,,,,,,,,,,,,,
4/12/2017,42.45,,,,,,,,,,,,,,,,,,,,,,,
5/12/2017,42.41,,,,,,,,,,,,,,,,,,,,,,,
6/12/2017,42.25,,,,,,,,,,,,,,,,,,,,,,,
7/12/2017,42.33,,,,,,,,,,,,,,,,,,,,,,,
8/12/2017,42.34,,,,,,,,,,,,,,,,,,,,,,,
11/12/2017,43.17,,,,,,,,,,,,,,,,,,,,,,,
12/12/2017,42.93,,,,,,,,,,,,,,,,,,,,,,,
13/12/2017,43.07,,,,,,,,,,,,,,,,,,,,,,,
14/12/2017,43.06,,,,,,,,,,,,,,,,,,,,,,,
15/12/2017,43.49,,,,,,,,,,,,,,,,,,,,,,,
18/12/2017,44.11,,,,,,,,,,,,,,,,,,,,,,,
19/12/2017,43.64,,,,,,,,,,,,,,,,,,,,,,,
20/12/2017,43.59,,,,,,,,,,,,,,,,,,,,,,,
21/12/2017,43.75,,,,,,,,,,,,,,,,,,,,,,,
22/12/2017,43.75,,,,,,,,,,,,,,,,,,,,,,,
26/12/2017,42.64,,,,,,,,,,,,,,,,,,,,,,,
